x,y,mass,size_x,size_y,eccentricity,solidity,intensity_mean,area,frame,tree_id,particle
20.763157894736842,16.50877192982456,21260.0,10,15,0.7875550148537741,0.9421487603305785,186.49122807017545,114,0,0,0
19.11214953271028,10.607476635514018,20677.0,11,11,0.4249138730954505,0.9727272727272728,193.2429906542056,107,1,0,0
16.962962962962962,8.268518518518519,20677.0,9,15,0.7972658671649185,0.9230769230769231,191.4537037037037,108,2,0,0
8.918604651162791,43.116279069767444,13166.0,9,12,0.7317835600322009,0.8775510204081632,153.09302325581396,86,3,1,1
16.894117647058824,4.7176470588235295,17203.0,9,11,0.5925843623769196,0.9444444444444444,202.38823529411764,85,3,0,0
14.863636363636363,38.43939393939394,11517.0,7,11,0.7524628945127665,0.9565217391304348,174.5,66,4,1,1
21.87272727272727,3.381818181818182,21870.0,17,9,0.8984709153938467,0.8870967741935484,198.8181818181818,110,4,0,0
19.797101449275363,40.072463768115945,12180.0,9,10,0.48308968401613034,0.9452054794520548,176.52173913043478,69,5,1,1
28.651162790697676,6.0813953488372094,16187.0,10,13,0.6227772886318965,0.9347826086956522,188.22093023255815,86,5,0,0
43.54054054054054,10.27027027027027,10373.0,10,10,0.7923021778185191,0.9487179487179487,140.17567567567568,74,5,2,2
24.93258426966292,39.146067415730336,15436.0,11,9,0.6218986240373405,0.967391304347826,173.43820224719101,89,6,1,1
30.049382716049383,4.419753086419753,15628.0,10,10,0.3714729075452936,0.9642857142857143,192.93827160493828,81,6,0,0
41.44285714285714,12.32857142857143,9675.0,10,10,0.7898768754062754,0.9333333333333333,138.21428571428572,70,6,2,2
27.506172839506174,39.65432098765432,13990.0,8,15,0.8670536591692369,0.9101123595505618,172.71604938271605,81,7,1,1
39.54545454545455,13.064935064935066,10193.0,12,10,0.821007507157545,0.927710843373494,132.37662337662337,77,7,2,2
28.840425531914892,35.148936170212764,14260.0,9,15,0.8434673140158647,0.94,151.70212765957447,94,8,1,1
39.191489361702125,14.297872340425531,12565.0,13,11,0.8446808024615804,0.94,133.67021276595744,94,8,2,2
28.761363636363637,28.636363636363637,12759.0,9,13,0.7008269588991523,0.946236559139785,144.98863636363637,88,9,1,1
37.11764705882353,15.376470588235295,10195.0,14,10,0.8815828784855156,0.9042553191489362,119.94117647058823,85,9,2,2
21.0,3.25,10517.0,8,9,0.6412987377025514,0.9333333333333333,187.80357142857142,56,10,3,3
36.068627450980394,21.480392156862745,12915.0,16,9,0.8792731579378259,0.918918918918919,126.61764705882354,102,10,2,2
17.258064516129032,8.268817204301076,15569.999999999998,8,14,0.8459761403375163,0.96875,167.41935483870967,93,11,3,3
23.137254901960784,26.568627450980394,10922.0,15,9,0.8315089723814717,0.918918918918919,107.07843137254902,102,11,4,4
40.5,24.5,8723.0,8,10,0.7071067811865476,0.9411764705882353,136.296875,64,11,2,2
16.5,27.91860465116279,9851.0,14,9,0.8634466589391057,0.9052631578947369,114.54651162790698,86,12,4,4
16.59259259259259,9.567901234567902,13790.0,8,12,0.7820585836997984,0.9642857142857143,170.2469135802469,81,12,3,3
41.71666666666667,29.433333333333334,7624.0,7,11,0.7277824243328782,0.9523809523809523,127.06666666666666,60,12,2,2
12.093023255813954,29.732558139534884,8580.0,16,8,0.920903284150109,0.945054945054945,99.76744186046511,86,13,4,4
15.820224719101123,9.067415730337078,14177.000000000002,9,13,0.7541105051031454,0.9368421052631579,159.2921348314607,89,13,3,3
45.83018867924528,32.339622641509436,6067.0,8,8,0.5262647272697807,0.9464285714285714,114.47169811320755,53,13,2,2
7.283950617283951,33.03703703703704,8743.0,13,10,0.8572708815046981,0.9310344827586207,107.93827160493827,81,14,4,4
16.467532467532468,10.090909090909092,13148.0,10,11,0.7409199359076138,0.9166666666666666,170.75324675324674,77,14,3,3
8.169811320754716,20.90566037735849,3949.0,11,7,0.8668415622934411,0.8548387096774194,74.50943396226415,53,15,4,4
16.189873417721518,10.012658227848101,13316.0,9,11,0.6982108532351132,0.9518072289156626,168.55696202531647,79,15,3,3
27.098591549295776,3.9295774647887325,6806.0,12,8,0.781963374605504,0.9594594594594594,95.85915492957747,71,15,5,5
46.588235294117645,37.23529411764706,6265.0,6,9,0.7285286651760637,0.9807692307692307,122.84313725490196,51,15,2,2
15.159574468085106,10.148936170212766,16211.0,10,13,0.789497224678168,0.94,172.45744680851064,94,16,3,3
33.12162162162162,7.297297297297297,6342.0,11,11,0.8602069009980857,0.9487179487179487,85.70270270270271,74,16,5,5
46.5625,41.34375,7241.0,6,12,0.8514762024772349,0.9696969696969697,113.140625,64,16,2,2
14.279069767441861,11.395348837209303,15808.000000000002,9,14,0.8581711388976935,0.9247311827956989,183.8139534883721,86,17,3,3
35.732142857142854,10.589285714285714,5237.0,7,10,0.7822449276659912,0.9180327868852459,93.51785714285714,56,17,5,5
15.127906976744185,10.686046511627907,15620.0,9,13,0.8231517686661772,0.9347826086956522,181.62790697674419,86,18,3,3
36.55172413793103,13.53448275862069,4694.0,9,12,0.8413186120740437,0.8285714285714286,80.93103448275862,58,18,5,5
15.773809523809524,8.857142857142858,14992.0,9,13,0.7312201832870894,0.9230769230769231,178.47619047619048,84,19,3,3
36.9375,13.546875,5040.0,7,12,0.8194088951832729,0.9411764705882353,78.75,64,19,5,5
