x,y,mass,size_x,size_y,eccentricity,solidity,intensity_mean,area,frame,tree_id,particle
34.18867924528302,46.81132075471698,7795.0,10,6,0.8446505553252193,0.9636363636363636,147.0754716981132,53,3,1,1
33.186440677966104,46.32203389830509,8693.0,11,6,0.8452041606103662,0.9833333333333333,147.33898305084745,59,4,1,1
18.06,20.54,5862.0,10,8,0.7455815386605162,0.8620689655172413,117.24,50,5,3,3
34.016129032258064,46.516129032258064,9293.0,11,6,0.8419042051150657,0.96875,149.88709677419354,62,5,1,1
18.625,20.660714285714285,6970.0,9,9,0.3975718193489586,0.8888888888888888,124.46428571428571,56,6,3,3
33.0,46.5,8818.0,11,6,0.833811996212779,1.0,152.0344827586207,58,6,1,1
25.50769230769231,27.43076923076923,5560.0,12,8,0.8754053937536094,0.9285714285714286,85.53846153846153,65,7,3,3
33.53125,46.578125,8858.0,12,6,0.8707235227191628,0.9846153846153847,138.40625,64,7,1,1
30.047619047619047,25.158730158730158,7183.0,10,8,0.7677155904381374,0.9692307692307692,114.01587301587301,63,8,3,3
33.59090909090909,46.31818181818182,9548.0,12,7,0.855083475130923,0.9565217391304348,144.66666666666666,66,8,1,1
27.203125,24.40625,7544.0,12,6,0.871651725349617,0.9846153846153847,117.875,64,9,3,3
33.642857142857146,46.42857142857143,8368.0,10,6,0.8076117095733232,1.0,149.42857142857142,56,9,1,1
24.135593220338983,24.203389830508474,8490.0,9,9,0.6065346777441674,0.9365079365079365,143.89830508474577,59,10,3,3
33.36363636363637,46.43636363636364,7844.0,11,6,0.8443161306507654,0.9821428571428571,142.61818181818182,55,10,1,1
22.215686274509803,25.372549019607842,5593.0,13,6,0.9293901031807803,0.864406779661017,109.66666666666667,51,11,3,3
33.90909090909091,46.472727272727276,7911.999999999999,11,6,0.8041544235430549,0.9482758620689655,143.85454545454544,55,11,1,1
33.75471698113208,46.56603773584906,7484.000000000001,10,6,0.7625622967611582,0.9464285714285714,141.20754716981133,53,12,1,1
33.96078431372549,46.27450980392157,7624.0,10,7,0.6911324792580483,0.8947368421052632,149.49019607843138,51,13,1,1
34.04,46.42,7416.0,9,7,0.6519248577915875,0.9259259259259259,148.32,50,14,1,1
