x,y,mass,size_x,size_y,eccentricity,solidity,intensity_mean,area,frame,tree_id,particle
37.40449438202247,21.707865168539325,16594.0,12,9,0.7198402213131505,0.956989247311828,186.4494382022472,89,1,0,0
35.2991452991453,23.581196581196583,22054.0,14,12,0.7839118943333399,0.936,188.4957264957265,117,2,0,0
31.11111111111111,25.61111111111111,18537.0,16,11,0.838196161615514,0.907563025210084,171.63888888888889,108,3,0,0
28.027397260273972,28.0,12963.0,9,10,0.6346147907066322,0.9605263157894737,177.57534246575344,73,4,0,0
26.743589743589745,27.756410256410255,13202.0,10,9,0.5999543456879493,0.975,169.25641025641025,78,5,0,0
26.573170731707318,28.426829268292682,14180.0,10,10,0.7399901948118626,0.9761904761904762,172.9268292682927,82,6,0,0
26.493827160493826,28.012345679012345,14014.0,10,9,0.575771127578964,0.9642857142857143,173.01234567901236,81,7,0,0
25.2,28.529411764705884,14431.0,11,10,0.5250248412987648,0.9340659340659341,169.7764705882353,85,8,0,0
24.458823529411763,28.870588235294118,14571.000000000002,11,10,0.5407135869891156,0.9444444444444444,171.42352941176472,85,9,0,0
23.95402298850575,29.04597701149425,14981.0,12,10,0.6292104565324576,0.9354838709677419,172.19540229885058,87,10,0,0
23.35483870967742,27.129032258064516,14863.0,8,14,0.8395768874891484,0.9489795918367347,159.81720430107526,93,11,0,0
22.954545454545453,24.181818181818183,13053.000000000002,10,14,0.8921094984007434,0.9072164948453608,148.32954545454547,88,12,0,0
19.6,18.2375,9470.0,9,14,0.863849416862158,0.8888888888888888,118.375,80,13,0,0
18.6125,14.35,10127.0,6,14,0.9031879525818719,1.0,126.5875,80,14,0,0
18.47222222222222,10.26388888888889,10202.0,6,14,0.8929083793686451,0.9863013698630136,141.69444444444446,72,15,0,0
17.014084507042252,5.056338028169014,10343.0,8,13,0.8870780815499072,0.8987341772151899,145.67605633802816,71,16,0,0
