ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
0,21.8290,6,39.8441,16.4668,7.9688,4.4028,0.5525,7.9688,3.0276,1.6109,2.5936,7.5592,10.8753,1.6109,2.5936,1.8253
1,3.6001,20,45.1664,5.2724,2.3772,1.2733,0.5357,2.3772,0.1832,1.3681,3.1035,40.2996,542.3904,1.3681,3.1035,12.5460
2,17.3236,6,38.1481,12.2065,7.6296,2.3977,0.3143,7.6296,0.0516,1.3561,2.5774,7.7130,17.6322,1.3561,2.5774,2.2021
3,17.5268,12,31.2955,6.4484,2.8450,1.6198,0.5693,2.8450,0.1935,0.8450,2.5050,2.9616,5.9841,0.8450,2.5050,1.7856
4,6.4817,3,6.4861,3.8958,3.2430,0.6527,0.2013,3.2430,1.3055,0.0750,0.0750,8.8556,8.8556,0.0750,0.0750,1.0007
6,23.7780,10,36.8332,7.2329,4.0926,2.7026,0.6604,4.0926,0.2758,1.1405,3.0493,40.1297,291.1262,1.1405,3.0493,1.5490
