ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
0,0.9142,11,23.4145,7.7625,2.3415,2.5761,1.1002,2.3415,0.2121,1.6752,3.0681,10.7655,43.5866,1.6752,3.0681,25.6113
1,13.2329,20,20.4824,12.2031,1.1788,2.7657,2.3463,1.0780,0.0031,1.7541,2.8579,2.7122,13.8862,1.6293,2.8579,1.5478
2,1.2727,4,2.9768,1.7752,1.1880,0.5872,0.4943,0.9923,0.5872,2.3426,2.3426,1.9197,1.9197,2.3426,2.3426,2.3389
3,3.8883,16,18.9024,3.8819,1.3309,1.0204,0.7667,1.2602,0.1944,1.8784,3.0152,2.2705,6.8286,1.7625,2.8783,4.8614
5,12.3998,8,17.4317,11.9789,2.4902,3.9353,1.5803,2.4902,1.8431,1.8334,3.0678,6.5201,25.4346,1.8334,3.0678,1.4058
7,0.8141,4,1.8620,0.9036,0.6207,0.2336,0.3763,0.6207,0.1476,2.3023,2.5573,0.9112,1.0825,2.3023,2.5573,2.2872
