ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
0,2.5900,7,6.5732,2.3459,1.0955,0.8142,0.7432,1.0955,0.2548,1.5511,2.1844,0.9766,1.2097,1.5511,2.1844,2.5379
1,35.1866,8,46.2842,9.4943,6.6120,2.1645,0.3274,6.6120,0.1776,0.7614,2.2902,7.9520,25.7610,0.7614,2.2902,1.3154
4,4.4881,11,15.2246,3.0112,1.5225,0.7760,0.5097,1.5225,0.0200,2.1716,3.1283,27.1559,207.5679,2.1716,3.1283,3.3922
