ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
0,4.5816,15,13.2338,1.9204,0.9453,0.5126,0.5423,0.9453,0.0744,1.1440,2.5600,1.4886,5.2557,1.1440,2.5600,2.8885
1,6.3987,15,24.7617,3.5972,1.7632,0.9578,0.5432,1.7687,0.0404,0.6173,1.9619,4.6140,28.6571,0.5692,1.9619,3.8698
2,0.4833,6,4.4980,1.1577,0.8996,0.1465,0.1629,0.8996,0.0931,2.1167,2.6610,1.1429,2.2319,2.1167,2.6610,9.3077
3,1.6315,4,3.2851,1.5468,1.0950,0.3218,0.2939,1.0950,0.3151,2.8864,3.1391,173.3704,344.3765,2.8864,3.1391,2.0135
4,1.3105,3,1.3838,1.1915,0.6919,0.4996,0.7221,0.6919,0.9992,0.9651,0.9651,0.6651,0.6651,0.9651,0.9651,1.0559
