ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
0,20.8066,12,44.3821,17.3678,4.0347,4.5284,1.1223,4.0347,0.2019,1.8019,3.1150,20.7364,105.6512,1.8019,3.1150,2.1331
1,3.6360,18,58.6350,13.4751,3.4491,3.5499,1.0292,3.4491,0.0135,1.2794,2.5072,3.6559,8.6874,1.2794,2.5072,16.1261
2,0.9397,6,14.8719,4.9692,2.9744,1.2800,0.4303,2.9744,0.2548,1.3476,2.9489,9.6570,20.5000,1.3476,2.9489,15.8254
4,10.9426,5,14.1414,5.4401,3.5353,1.8658,0.5278,3.5353,1.3748,1.6566,2.2377,3.1370,3.6786,1.6566,2.2377,1.2923
