ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
1,4.6570,17,20.8709,5.0275,1.3044,1.4610,1.1200,1.3044,0.3319,2.3109,3.1360,18.3196,216.1614,2.3109,3.1360,4.4816
2,15.2704,7,22.0694,5.5371,3.6310,1.7255,0.4752,3.6782,0.6811,1.1110,2.7652,68.6409,254.7173,1.0771,2.7652,1.4452
3,12.7729,4,13.0542,6.4442,4.3514,1.4800,0.3401,4.3514,1.5854,0.2551,0.3660,6.3683,11.0539,0.2551,0.3660,1.0220
4,17.1965,5,17.3792,6.5677,4.3448,2.4260,0.5584,4.3448,2.0491,0.3052,0.3405,4.4923,6.3524,0.3052,0.3405,1.0106
5,9.3820,3,9.3989,5.2069,4.6994,0.5075,0.1080,4.6994,1.0150,0.1205,0.1205,4.8255,4.8255,0.1205,0.1205,1.0018
6,18.0979,4,19.1872,8.3175,6.3957,1.4962,0.2339,6.3957,1.0580,0.3912,0.5487,5.8177,8.4775,0.3912,0.5487,1.0602
7,10.5113,3,11.0461,6.2617,5.5230,0.7387,0.1337,5.5230,1.4774,0.6307,0.6307,3.1394,3.1394,0.6307,0.6307,1.0509
